Ship Date;Tracking;City;State;Zip;Weight;Zone;;;;
2015/11/20;1Z091YW70393849354;BEULAH;ND;58523;0;6;INF;3;Ground Residential Third Party;0
2015/11/23;1Z091YW70390063298;La habra;CA;90631;30;2;FRT;3;Ground Residential Third Party;8.07
2015/11/23;1Z091YW70390063298;La habra;CA;90631;0;2;ACC;RES;Residential Surcharge;2.01
2015/11/23;1Z091YW70390063298;La habra;CA;90631;0;2;FSC;FSC;Fuel Surcharge;0.53
2015/11/23;1Z091YW70390063298;La habra;CA;90631;0;2;INF;3;Ground Residential Third Party;0
2015/11/23;1Z091YW70390783019;CARSON;CA;90746;60;2;FRT;3;Ground Commercial Third Party;9.43
2015/11/23;1Z091YW70390783019;CARSON;CA;90746;60;2;ACC;RES;Residential Surcharge;2.47
2015/11/23;1Z091YW70390783019;CARSON;CA;90746;0;2;FSC;FSC;Fuel Surcharge;0.5
2015/11/23;1Z091YW70390783019;CARSON;CA;90746;0;2;INF;3;Ground Commercial Third Party;0
2015/11/23;1Z091YW70391305248;PIONEER;CA;95666;30;4;FRT;3;Ground Residential Third Party;10.33
2015/11/23;1Z091YW70391305248;PIONEER;CA;95666;0;4;ACC;RES;Residential Surcharge;2.01
2015/11/23;1Z091YW70391305248;PIONEER;CA;95666;0;4;ACC;LDR;Delivery Area Surcharge - Extended;3.8
2015/11/23;1Z091YW70391305248;PIONEER;CA;95666;0;4;FSC;FSC;Fuel Surcharge;0.85
2015/11/23;1Z091YW70391305248;PIONEER;CA;95666;0;4;INF;3;Ground Residential Third Party;0
2015/11/23;1Z091YW70390012815;MCKINNEY;TX;75071;10;6;FRT;3;Ground Residential Third Party;7.55
2015/11/23;1Z091YW70390012815;MCKINNEY;TX;75071;0;6;ACC;RES;Residential Surcharge;2.01
2015/11/23;1Z091YW70390012815;MCKINNEY;TX;75071;0;6;FSC;FSC;Fuel Surcharge;0.5
2015/11/23;1Z091YW70390012815;MCKINNEY;TX;75071;0;6;INF;3;Ground Residential Third Party;0
2015/11/23;1Z091YW70393159288;PASADENA;TX;77506;30;6;FRT;3;Ground Residential Third Party;15.24
2015/11/23;1Z091YW70393159288;PASADENA;TX;77506;0;6;ACC;RES;Residential Surcharge;2.01
2015/11/23;1Z091YW70393159288;PASADENA;TX;77506;0;6;FSC;FSC;Fuel Surcharge;0.9
2015/11/23;1Z091YW70393159288;PASADENA;TX;77506;0;6;INF;3;Ground Residential Third Party;0
2015/11/23;1Z091YW70394926349;VALLEY VIEW;TX;76272;30;6;FRT;3;Ground Residential Third Party;15.24
2015/11/23;1Z091YW70394926349;VALLEY VIEW;TX;76272;0;6;ACC;RES;Residential Surcharge;2.01
2015/11/23;1Z091YW70394926349;VALLEY VIEW;TX;76272;0;6;ACC;LDR;Delivery Area Surcharge - Extended;3.8
2015/11/23;1Z091YW70394926349;VALLEY VIEW;TX;76272;0;6;FSC;FSC;Fuel Surcharge;1.1
2015/11/23;1Z091YW70394926349;VALLEY VIEW;TX;76272;0;6;INF;3;Ground Residential Third Party;0
2015/11/23;1Z091YW70392982578;two rivers;AK;99716;25;46;FRT;3;Ground Commercial Third Party;69.94
2015/11/23;1Z091YW70392982578;two rivers;AK;99716;0;46;FSC;FSC;Fuel Surcharge;3.67
2015/11/23;1Z091YW70392982578;two rivers;AK;99716;0;46;INF;3;Ground Commercial Third Party;0
